timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,economic_index,market_demand_index,internet_traffic_index
06-01-2023,US-East,Compute,719.27,713.58,429.65,98.76,100.52,125.48,114.96
06-01-2023,US-West,Storage,647.1,709.41,389.67,96.83,103.1,93.89,125.97
06-01-2023,India-South,Compute,500.5,719,390.35,98.44,95.15,107.16,117.77
06-01-2023,US-East,Storage,117.24,739.91,319.22,98.24,104.61,112.72,127.46
06-01-2023,India-South,Storage,246.27,794.42,196.74,97.14,93.1,117.83,117.44
07-01-2023,India-South,Storage,531.54,625.68,113.19,98.11,106.2,103.43,122.76
07-01-2023,Europe-North,Storage,537.06,654.51,162.03,98.33,93.68,111.89,143.37
07-01-2023,US-East,Storage,463.05,681.57,140.95,98.93,104.7,93.06,122.93
07-01-2023,US-East,Compute,686.15,370.11,352.32,98.11,114.64,122.52,110.85
07-01-2023,US-West,Compute,524.25,540.49,,96.99,,107.81,119.2
07-01-2023,US-East,Compute,666.35,718.48,178.06,99.88,113.38,113.59,145.91
07-01-2023,Europe-North,Compute,221.82,434.64,215.92,98.85,99.04,139.92,119.89
07-01-2023,US-West,Storage,498.73,551.95,197.99,99.95,99.2,101.77,144.81
07-01-2023,US-West,Compute,617.25,349.07,165.14,97.25,92.21,135.39,123.99
07-01-2023,US-East,Storage,499.5,506.53,448.79,96.54,96,87.42,88.81
08-01-2023,India-South,Compute,580.74,803.71,277.63,96.9,,107.79,102.87
08-01-2023,Europe-North,Compute,462.34,514.11,258.17,98.66,94.19,114.72,119.11
08-01-2023,Europe-North,Storage,423.61,367.95,220.05,99.02,,95.29,113.51
08-01-2023,US-East,Storage,384.41,438.69,407.91,97.73,120.84,105.34,114.93
08-01-2023,US-West,Storage,552.91,625.69,347.21,99.48,99.39,106.79,156.35
08-01-2023,India-South,Compute,590.26,652.6,401.36,99.96,104.21,130.68,124.77
08-01-2023,US-East,Storage,,755.28,328.31,98.73,99.57,110.67,113.39
08-01-2023,US-East,Compute,439.42,754.34,288.39,98.4,112.61,113.3,112.68
08-01-2023,US-West,Storage,818.52,687.98,399.49,99.39,106.55,112.72,114.42
08-01-2023,Europe-North,Storage,636.26,472.72,237.65,99.74,110.5,113.04,137.66
08-01-2023,Europe-North,Compute,443.61,678.8,157.03,99.15,100.92,108.52,126.9
08-01-2023,India-South,Compute,654.37,821.29,214.97,99.72,100.69,108.08,113.45
09-01-2023,US-West,Compute,565.92,692.15,359.29,97.06,104.05,99.47,119.75
09-01-2023,India-South,Compute,579.63,831.67,121.08,98.28,110.16,78.58,148.85
09-01-2023,US-East,Storage,748.53,649.69,,98.05,110.96,105.4,123.92
09-01-2023,India-South,Compute,771.88,545.56,199.69,98.39,107.63,113.04,137.87
09-01-2023,India-South,Compute,467.96,600.62,,98.13,94.54,105.95,157.74
10-01-2023,Europe-North,Storage,642.75,646.55,207.4,99.78,93.16,110.43,137.88
10-01-2023,US-West,Compute,528.53,742.27,332.1,97.26,117.34,99.24,137.87
10-01-2023,India-South,Storage,485.65,769.17,255.47,98.09,100.74,111.96,98.29
10-01-2023,Europe-North,Storage,450.6,603.39,356.69,96.92,97.97,125.67,127.97
10-01-2023,US-East,Storage,422.46,849.35,284.59,97.86,107.14,102.99,104.14
10-01-2023,US-West,Storage,668.12,593.95,246.25,99.66,,94.08,135.42
10-01-2023,US-East,Compute,619.77,713.98,325.47,99.73,106.13,106.91,120.14
10-01-2023,US-West,Compute,794.63,705.48,307.4,99.96,106.77,118.32,132.5
10-01-2023,India-South,Storage,826.79,756.03,147.5,96.69,109.7,101.96,120.78
10-01-2023,US-West,Compute,602.37,792.27,309.5,97.62,109.52,113.84,103.91
10-01-2023,US-West,Storage,,912.59,155.45,99.74,102.87,119.93,155.61
11-01-2023,US-East,Compute,639.67,570.54,321.93,98.94,110.7,120.01,119.63
11-01-2023,Europe-North,Storage,514.86,674.98,356.37,97.72,103.21,119.14,123.22
11-01-2023,US-West,Compute,,710.06,117.42,98.54,121.62,138.73,123.61
11-01-2023,US-East,Compute,662.43,514.86,212.65,99.25,112.41,134.72,151.85
11-01-2023,US-West,Storage,679.47,484.13,297.41,97.11,110.64,111.57,123.27
11-01-2023,US-East,Storage,625.93,793.84,233.88,99.83,106.63,104.24,127.32
12-01-2023,US-West,Compute,503.22,739.82,72.95,99.57,94.68,132.74,112.6
12-01-2023,Europe-North,Storage,599.59,629.06,308.93,97.68,106.03,105.64,100.45
12-01-2023,India-South,Storage,586.72,651.27,252.3,96.62,114.88,108.98,124.9
12-01-2023,US-West,Compute,534.33,463.1,382.48,97.66,83.64,100,117.96
12-01-2023,India-South,Storage,575.11,748.61,257.52,97.93,96.03,108.19,139.41
12-01-2023,US-West,Compute,393.21,817.94,297.22,97.02,94.48,116.43,131.45
12-01-2023,Europe-North,Storage,528.15,808.74,,98.94,104.27,113.28,122.25
12-01-2023,US-East,Compute,565.88,781.4,104.44,97.72,104.23,106.65,151.3
12-01-2023,US-East,Compute,482.06,354.15,294.29,98.77,97.03,112.06,128.24
12-01-2023,US-East,Compute,616.38,410.5,339.14,98.12,99.18,104.28,135.09
12-01-2023,US-East,Storage,549.56,814.92,131.43,98.28,105.55,116.77,138.66
12-01-2023,US-East,Compute,423.68,849.34,258.37,96.79,113,95.34,130.93
12-01-2023,US-East,Storage,373.84,1010.97,235.7,99.35,105.11,130.67,130.52
12-01-2023,Europe-North,Storage,310.73,734.51,280.18,98.39,112.49,121.79,131.53
12-01-2023,US-West,Storage,670.18,599.63,221.27,98.95,111.72,87.38,151.23
12-01-2023,US-East,Compute,541.12,446.71,280.5,99.26,102.7,121.36,102.65
12-01-2023,India-South,Compute,553.3,647.37,202.84,98.34,102.38,109.36,141.87
13-01-2023,US-East,Compute,583.17,337.83,309.72,99.84,101.05,112.19,129.69
13-01-2023,US-West,Storage,590.04,663.52,508.2,97.1,105.4,113.01,158.27
13-01-2023,US-West,Compute,331.3,657.25,348.61,98.55,97.37,111.12,134.09
13-01-2023,India-South,Storage,624.82,610.38,278.17,98.53,103.14,99.38,146.32
13-01-2023,Europe-North,Storage,606.33,692.58,227.89,99.36,94.52,102.41,121.48
13-01-2023,US-West,Compute,706.63,853.22,289.01,99.15,104.02,82.24,117.87
13-01-2023,US-East,Storage,408.41,783.64,281.78,97.35,113.99,122.54,124.28
13-01-2023,India-South,Compute,,880.25,344.14,98.1,105.34,118.31,150.69
13-01-2023,US-East,Storage,524.01,713.62,386.99,97.44,101.5,135.01,155.95
13-01-2023,US-East,Compute,,580.46,269.05,97.13,84.52,112.67,112.53
13-01-2023,US-West,Storage,682.79,734.2,274.36,97.71,93.21,110.7,128.59
13-01-2023,Europe-North,Compute,454.87,861.78,251.19,98.14,113.49,120.12,136.51
14-01-2023,Europe-North,Compute,,700.2,292.33,97.83,106.03,116.22,153.04
14-01-2023,Europe-North,Storage,307.86,506.31,259.3,99.34,115.46,104.82,107.93
14-01-2023,India-South,Storage,445.01,560.47,392.14,97.81,86.26,114.42,128.93
14-01-2023,India-South,Storage,646.7,588.1,279.45,98.6,97.77,128.92,104.57
14-01-2023,US-West,Compute,272.09,876.21,,97.04,,120.75,131.8
14-01-2023,India-South,Compute,542.59,431.87,358.19,98,119.14,99.57,130.45
14-01-2023,Europe-North,Compute,,707.89,169.17,96.84,103.36,108.68,127.69
15-01-2023,Europe-North,Compute,417.53,638.35,249,97.18,108.01,90.63,118.88
15-01-2023,Europe-North,Compute,316.65,430.93,463.86,99.48,99.5,107.46,153.02
15-01-2023,Europe-North,Storage,784.79,881.81,,97.41,107.2,128.56,122.25
15-01-2023,India-South,Storage,695.86,671.09,66.13,98.04,105.19,106.06,137.18
15-01-2023,Europe-North,Compute,,521.56,211.33,99.33,109.32,96.29,126.41
15-01-2023,Europe-North,Compute,564.36,1059.58,426.08,96.93,108.11,106.5,130.01
15-01-2023,India-South,Storage,722.46,775.96,120.02,98.53,102.26,120.1,120.83
15-01-2023,Europe-North,Storage,496.05,1054.43,243.65,97.99,93.33,88.25,164.35
16-01-2023,India-South,Compute,537.28,581.94,297.23,99.36,101.51,124.54,150.47
16-01-2023,US-West,Storage,334.94,589.03,423.67,96.85,90.97,121.85,112.43
16-01-2023,US-East,Compute,307.56,752.99,181.38,99.88,112.42,105.04,142.54
16-01-2023,US-East,Compute,488.2,704.63,205.77,99.58,110.25,108.56,109.14
16-01-2023,US-East,Storage,521.15,682.39,256.53,97.32,111.02,112.63,146.24
16-01-2023,Europe-North,Compute,506.26,615.29,317.44,99.77,,114.48,137.39
16-01-2023,India-South,Compute,671.52,504.01,178.08,99.82,94.76,105.85,125.79
17-01-2023,Europe-North,Storage,688.64,617.68,350.99,97.09,95.52,105.25,151.96
17-01-2023,Europe-North,Storage,346.27,1022.68,321.46,96.58,112.88,109.81,147.4
17-01-2023,India-South,Compute,496.51,436.43,220.04,99.39,112.72,108.76,139.25
17-01-2023,US-West,Storage,490.14,832.78,116.45,98.57,97.75,98.36,134.55
17-01-2023,India-South,Compute,444.99,743.94,201.35,99.16,94.69,134.96,149.59
17-01-2023,India-South,Compute,642.94,487.01,199.86,97.27,108.59,120.08,141.82
17-01-2023,India-South,Compute,700.22,850.05,266.63,99.8,106.68,130.95,114.86
17-01-2023,Europe-North,Storage,583.55,946.78,229.17,98.7,111.79,93.94,147.59
17-01-2023,US-West,Compute,593.66,392.13,299,98.39,100.09,111.78,116.28
17-01-2023,US-West,Storage,490.65,335.24,229.75,97.15,107.4,128.3,125.77
17-01-2023,Europe-North,Storage,494.35,678.79,208.89,97.73,100.69,114.08,122.31
17-01-2023,US-East,Storage,397.17,778.94,247.81,96.91,,88.28,156.25
17-01-2023,US-West,Compute,298.11,259.33,119.12,98.88,101.92,100.75,129.13
18-01-2023,India-South,Storage,495.44,649.83,291.22,98.44,86.79,88.78,132.02
18-01-2023,US-East,Compute,1011.07,758.25,331.2,98.84,,122.28,149.73
18-01-2023,Europe-North,Compute,325.15,655.55,187.84,96.62,90.32,91.1,137.41
18-01-2023,US-East,Compute,447.54,608.3,,98.82,99.36,93.78,122.65
19-01-2023,Europe-North,Storage,415.76,520.17,323.69,97.14,104.28,108.48,132.2
19-01-2023,India-South,Compute,593.17,607.01,287.44,97.36,106.56,74.27,149.18
19-01-2023,US-West,Compute,467.49,743.1,121.3,97.92,109.99,121.77,136.37
19-01-2023,Europe-North,Storage,393.86,655.73,152.16,99.97,102.99,123.11,121.15
19-01-2023,India-South,Storage,399.99,426.51,234.02,98.15,117.52,119.48,122.47
19-01-2023,Europe-North,Storage,744.32,757.31,261.27,96.6,95.93,107.1,126.15
19-01-2023,US-West,Compute,425.76,944.7,307.67,99.9,101.1,110.78,121.5
19-01-2023,India-South,Storage,584.62,767.66,359.99,97.66,107.33,128.61,115.03
19-01-2023,US-West,Storage,619.51,682.19,339.46,96.83,93.14,105.02,119.45
19-01-2023,US-West,Compute,562.69,943.69,172.01,98.07,106.97,125.11,160.33
19-01-2023,US-West,Storage,426.6,440.12,306.51,98.76,111.3,123.53,146.43
19-01-2023,US-East,Storage,535.51,590.79,232.2,97.12,104.38,92.96,115.56
19-01-2023,US-West,Compute,298.03,359.99,349.55,97.43,99.58,115.03,128.56
20-01-2023,India-South,Compute,546.18,559.34,346.14,97.12,118.33,100.45,134.67
20-01-2023,Europe-North,Compute,269.12,596.32,248.03,98.67,104.12,122.91,152.6
20-01-2023,India-South,Storage,651.45,189.61,303.63,97.24,101.54,104.19,118.23
20-01-2023,India-South,Compute,469.22,462.96,328.78,99.88,107.41,98.2,114.37
20-01-2023,US-West,Storage,467.73,598.47,245.99,99.5,109.83,135.99,117.75
20-01-2023,US-West,Compute,269.43,758.14,416.73,97.1,96.94,90.95,135.69
20-01-2023,Europe-North,Storage,524.9,774.5,346.14,97.55,102.09,129.65,119
20-01-2023,US-West,Compute,404.27,486.05,228.02,99.21,93.82,99.06,130.17
20-01-2023,Europe-North,Compute,558.52,867.3,274.17,96.55,114.43,117.7,109.24
21-01-2023,India-South,Compute,440.65,632.93,242.25,97.07,104.44,101.48,121.31
21-01-2023,US-West,Storage,475.39,764.2,332.45,96.65,108.83,96.27,99.39
21-01-2023,US-West,Compute,498.43,880.74,193.74,97.3,109.14,115.21,124.82
21-01-2023,US-East,Storage,522.55,774.67,269.04,96.62,96.96,112.54,115.4
21-01-2023,US-West,Compute,780.02,198.27,249.2,98.48,111.36,123.01,116.47
21-01-2023,India-South,Compute,613.92,642.94,323.58,98.31,113.39,120.73,131.18
21-01-2023,India-South,Compute,591.78,821.33,248.25,98.03,103.06,136.08,136.96
21-01-2023,Europe-North,Compute,577.45,808.55,327.13,98.44,104.62,107.91,95.01
21-01-2023,US-West,Compute,539.11,613.42,217.89,99.26,103.78,104.13,114.13
21-01-2023,Europe-North,Compute,650.56,745.32,335.32,97.16,103.06,104.68,126.96
22-01-2023,US-West,Storage,616.27,859.24,208.37,98.37,97.8,101.29,137.1
22-01-2023,Europe-North,Storage,291.83,572.61,366.84,96.56,124.23,115.58,111.31
22-01-2023,US-East,Storage,365.9,450.28,115.49,97.86,105.11,118.92,130.21
22-01-2023,Europe-North,Compute,548.81,759.71,222.04,97.41,98.79,122.07,136.47
22-01-2023,US-West,Compute,544.38,669.97,119.87,96.57,101.49,138.1,104.99
22-01-2023,Europe-North,Storage,585.42,448.46,349.24,98.14,106.14,126.44,142.43
22-01-2023,Europe-North,Storage,,486.61,349.12,98.72,88.27,92.28,120.95
22-01-2023,US-East,Compute,454.61,531.96,179.23,97.72,105.58,103.63,162.66
22-01-2023,Europe-North,Storage,561.36,640.24,268.64,97.88,102.69,109.62,126.33
22-01-2023,Europe-North,Storage,402.94,828.11,421.14,96.88,123.6,108.63,125.08
22-01-2023,Europe-North,Storage,622.04,572.62,63.8,98,107.33,107.85,126.24
22-01-2023,US-East,Storage,633.83,534.15,261.69,98.32,103.82,107.59,95.42
22-01-2023,US-East,Storage,343.46,835.71,456.3,99.29,94.88,111.37,122.92
22-01-2023,US-East,Storage,714.5,668.87,247.43,99.99,106.04,99.65,133.54
23-01-2023,India-South,Storage,539.97,839.47,209.39,97.48,92.71,115.75,109.67
23-01-2023,India-South,Compute,452.71,480.87,342.85,98.07,105.47,104.64,119.42
23-01-2023,Europe-North,Storage,628.2,605.78,386.5,97.97,105.49,109.33,112.01
23-01-2023,Europe-North,Storage,378,857.02,367.33,99.94,106.78,112.82,130.74
23-01-2023,US-East,Compute,346.73,688.4,160.54,99.99,93.95,112.26,119.48
23-01-2023,Europe-North,Compute,749.25,908.26,279.43,96.81,99.01,97.89,127.36
23-01-2023,US-East,Compute,393.08,713.06,386.86,98.6,108.74,127.18,117.63
23-01-2023,US-West,Storage,572.62,747.9,302.53,96.69,102.1,89.71,128.51
24-01-2023,US-East,Compute,648.32,282.71,326.1,96.58,103.66,103.17,120.05
25-01-2023,US-East,Compute,382.46,619.57,221.6,96.99,122.63,119.67,122.89
25-01-2023,US-East,Storage,413.44,711.57,247.22,97.52,112.77,116.44,124.08
25-01-2023,India-South,Compute,280.54,638.47,181.54,98.83,120.4,116.58,111.69
25-01-2023,US-West,Compute,653.3,526.56,161.44,97.11,107.34,130.63,134.15
25-01-2023,Europe-North,Compute,569.76,522.83,433.12,97.61,106.21,97.69,126.06
25-01-2023,Europe-North,Storage,508.82,770.57,,97.3,108.43,107.01,125.39
25-01-2023,India-South,Compute,569.97,814.37,269.69,99.02,108.68,95.95,118.36
25-01-2023,Europe-North,Compute,333.04,720.61,308.22,98.95,,115.7,135.86
25-01-2023,US-East,Storage,468.26,517.31,260.81,97.04,114.81,80.81,131.53
25-01-2023,US-West,Storage,540.76,814.58,308.96,98.79,92.64,115.73,117.65
25-01-2023,India-South,Storage,575.31,492.34,281.47,97.35,106.42,91.57,151.62
25-01-2023,US-East,Compute,639.11,698.28,336.88,99.97,113.34,98.22,149.28
25-01-2023,Europe-North,Storage,640.34,384.12,,98.12,99.01,127.54,122.21
25-01-2023,US-West,Storage,526.03,688.53,252.26,97.42,98.17,109.5,141.43
25-01-2023,US-East,Compute,502.21,351.45,320.12,97.91,104.3,108.92,138.87
26-01-2023,Europe-North,Compute,556.98,691.02,162.15,97.02,112.91,90.97,163.76
26-01-2023,US-West,Compute,491.5,671.29,290.5,97.76,98.99,114.6,130.52
26-01-2023,Europe-North,Storage,513.3,861.13,212.59,98.51,122.51,93.73,141.1
26-01-2023,US-West,Compute,734.89,647.4,211.76,98.77,92.91,100.62,143.58
26-01-2023,Europe-North,Storage,483.63,734.38,444.77,96.64,,117.55,133.18
26-01-2023,India-South,Storage,625.93,816.87,349.51,99.26,107.1,113.35,114.98
26-01-2023,US-West,Compute,388.23,577.69,236.95,97.52,104.85,114.37,144.69
26-01-2023,US-West,Storage,619.79,889.55,334.16,97.86,108.39,105.93,133.32
27-01-2023,US-West,Storage,532.39,491.51,150.35,98.15,96.18,107.9,140.34
27-01-2023,US-West,Compute,700.02,566.02,490.58,99.98,97.49,101.43,134.61
27-01-2023,US-West,Storage,437.25,476.6,320.5,99.98,105.11,110.21,134.48
27-01-2023,US-West,Storage,468.9,696.62,215.21,99.64,110.21,112.34,117.44
27-01-2023,India-South,Storage,662,687.43,121.85,96.78,104.36,128.23,115.24
27-01-2023,Europe-North,Storage,608.63,511.36,422.01,99.19,101.14,102.66,124.33
28-01-2023,US-East,Storage,285.15,872.36,252.75,97.1,112.41,105.45,97.75
28-01-2023,US-East,Compute,560.13,699.63,,98.57,103.64,104.04,139.13
28-01-2023,India-South,Compute,462.19,844.18,277.05,97.16,106.95,104.21,138.08
28-01-2023,Europe-North,Compute,578.53,735.21,86.01,97.07,,103.99,156.52
28-01-2023,Europe-North,Storage,550.43,522.04,221.31,97.82,111.41,103.45,142.28
28-01-2023,US-East,Compute,516.36,467.06,133.97,96.67,107.04,109.91,131.15
28-01-2023,Europe-North,Compute,539.02,738.6,313.55,96.68,101.66,122.02,123.95
28-01-2023,US-West,Compute,430.02,705.58,303.46,98.73,91.1,99.81,135.28
28-01-2023,US-West,Compute,530.81,688.33,182,99.55,107.23,123.59,118.24
29-01-2023,India-South,Storage,847.43,534.19,387.08,96.82,,119,156.38
29-01-2023,India-South,Compute,355.39,753.28,286.22,98.52,98.1,96.71,142.34
29-01-2023,Europe-North,Storage,333.55,689.12,247.64,98.26,94.42,99.01,114
29-01-2023,US-West,Storage,456.15,821.03,339.84,96.88,105.16,107.43,133.98
29-01-2023,US-West,Compute,542.07,792.61,430.42,98.7,102.3,118.37,112.53
29-01-2023,US-East,Compute,424.75,756.43,365.44,97.9,76.04,118.45,164.03
29-01-2023,US-West,Compute,506.54,565.7,198.59,97.85,,108.57,139.22
29-01-2023,Europe-North,Storage,606.5,769.28,,98.27,107.68,92.3,155.73
29-01-2023,Europe-North,Compute,716.71,497.55,190.37,98.08,99.86,102,121.01
29-01-2023,US-East,Storage,705.72,592.06,294.58,97.12,107.71,97.12,123.18
29-01-2023,US-West,Compute,691.52,767.18,317.17,98.61,119.57,106.52,142.06
30-01-2023,US-West,Storage,355.19,703.43,330.95,97.54,93.35,128.72,102.84
30-01-2023,US-West,Compute,333.31,377.8,287.66,97.59,115.62,109.23,129.25
30-01-2023,Europe-North,Compute,,722.65,148.41,98.6,103.21,108.11,146.59
30-01-2023,India-South,Compute,558.91,704.6,189.73,97.95,106.33,93.39,144.54
30-01-2023,US-East,Storage,476.44,292.94,299.23,97.67,111.88,125.49,107.95
30-01-2023,India-South,Compute,435.91,840.54,243.95,98.22,95.98,116.3,140.32
30-01-2023,India-South,Storage,639.3,596.39,239.47,99.53,110.96,109.82,138.55
31-01-2023,Europe-North,Compute,700.8,408.96,347.94,97.17,106.95,99.14,95.2
31-01-2023,India-South,Storage,527.42,627.45,268.55,99.35,116.63,132.84,116.14
31-01-2023,India-South,Storage,653.82,594.97,278.51,98.62,112.88,126.06,118.89
31-01-2023,India-South,Storage,168.2,814.94,,97.68,115.48,105.62,166.93
31-01-2023,US-West,Compute,498.67,758.54,101.09,97.13,107.91,113.35,88.17
31-01-2023,Europe-North,Compute,732.62,432.38,432.37,96.98,111.56,121.66,136.3
01-02-2023,US-West,Storage,565.38,647.37,276.87,99.26,102.63,115.47,142.34
01-02-2023,Europe-North,Compute,608.74,597.16,245.4,97.19,97.76,127.25,113
01-02-2023,Europe-North,Storage,,625.9,410.99,98.01,91.06,99.5,147.92
01-02-2023,US-East,Compute,515.14,789.41,197.09,99.02,85.78,121.87,119.49
02-02-2023,US-East,Compute,677.4,835.84,238.97,97.46,107.78,120.4,119.21
02-02-2023,Europe-North,Compute,352.06,490.25,372.38,97.96,111.61,126.44,130.63
02-02-2023,Europe-North,Storage,578.15,789.17,,96.57,100.2,99.2,115.65
02-02-2023,India-South,Compute,551.14,275.72,314.24,98.62,112.66,112.72,148.76
02-02-2023,Europe-North,Storage,577.39,392.14,483.89,99.19,98.36,131.4,92.4
02-02-2023,India-South,Storage,,667.04,375.95,99.87,107.79,93.95,109.81
03-02-2023,India-South,Compute,511.37,197.25,164.43,96.76,,125.94,130.02
03-02-2023,India-South,Compute,596.26,711.42,295.04,98.1,98.15,100.52,147.86
03-02-2023,US-East,Compute,394.84,749.52,269.73,99.21,98.74,131.1,124.14
03-02-2023,India-South,Compute,436.95,775.28,354.89,99.15,,103.01,158.2
04-02-2023,Europe-North,Storage,634.35,930.34,156.69,96.71,,116.03,109.97
04-02-2023,India-South,Storage,489.62,570.36,258.06,98.98,105.78,89.9,139.51
04-02-2023,US-West,Storage,703.16,776.22,102.42,97.89,99.28,119.49,135.93
04-02-2023,Europe-North,Compute,353.82,628.56,237.06,99.09,109.01,93.63,128.38
04-02-2023,US-East,Storage,466.52,765.41,276.7,99.94,109.97,97.96,119.31
04-02-2023,US-East,Compute,579.54,835.57,261.62,97.94,107.12,141.8,125.54
04-02-2023,Europe-North,Storage,718.04,729.7,420.28,97.8,100.75,110.86,149.47
04-02-2023,US-East,Storage,520.74,850.95,111.44,96.64,119.94,107.27,136.04
04-02-2023,US-West,Compute,589.64,786.7,211.55,99.4,93.82,104.01,138.42
04-02-2023,Europe-North,Storage,328.84,629.33,276.27,98.49,91.94,103.48,164.6
05-02-2023,US-West,Storage,512.12,637.68,186,99.33,110.65,97.28,129.36
05-02-2023,US-East,Compute,463.88,559.4,292.51,99.51,103.26,98.96,113.32
05-02-2023,Europe-North,Compute,633.08,700.97,190.61,96.59,106.71,112.45,123.86
05-02-2023,Europe-North,Storage,554,962.36,344.74,99.75,102.75,110.55,122.43
05-02-2023,US-East,Compute,541.27,574.67,264.15,98.08,,108.76,129.04
05-02-2023,US-East,Compute,511.43,813.65,300.12,97.21,107.38,107.51,143.82
06-02-2023,Europe-North,Storage,753.1,487.65,523.67,97.01,,112.89,149.7
06-02-2023,US-West,Compute,,477.06,151.86,97.12,85.41,123.84,153.52
06-02-2023,US-West,Storage,658.93,1036.39,154.14,98.05,104.04,124.33,136.72
06-02-2023,US-East,Storage,328.5,403.22,171.3,97.57,90.57,118.37,138.05
06-02-2023,US-East,Compute,511.63,766.35,216.37,97.69,104.41,126.67,133.03
06-02-2023,Europe-North,Storage,662.04,890.63,,96.69,109.9,109.71,146.3
07-02-2023,US-East,Storage,556.07,595.18,433.45,97.17,98.24,116.68,122.15
07-02-2023,US-West,Compute,334.4,783.72,325.89,99.87,90.16,118.82,139.09
07-02-2023,US-West,Compute,579.18,845.63,243.34,99.5,100.95,93.5,111.3
07-02-2023,Europe-North,Storage,599.93,484.01,318.68,98.43,103.18,123.72,141.64
07-02-2023,US-West,Compute,516.02,521.65,294.15,98.14,101.65,89.88,116.14
07-02-2023,Europe-North,Compute,383.49,792.45,374.64,99.31,104.85,95.77,135.01
08-02-2023,US-West,Storage,295.96,752.93,277,98.5,86.1,116.28,139.43
08-02-2023,India-South,Compute,688.15,375.13,240.51,99.05,,120.73,121.85
08-02-2023,India-South,Storage,569.9,761.31,343.43,96.54,104.79,95.42,160.16
